2020-11-18 08:27:22 install ca-certificates:all <none> 20200601~deb10u1
2020-11-18 08:27:22 status half-installed ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:22 status unpacked ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:22 install libassuan0:amd64 <none> 2.5.2-1
2020-11-18 08:27:22 status half-installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:22 status unpacked libassuan0:amd64 2.5.2-1
2020-11-18 08:27:22 install libreadline7:amd64 <none> 7.0-5
2020-11-18 08:27:22 status half-installed libreadline7:amd64 7.0-5
2020-11-18 08:27:22 status unpacked libreadline7:amd64 7.0-5
2020-11-18 08:27:22 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:22 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:22 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:22 install lsb-base:all <none> 10.2019051400
2020-11-18 08:27:22 status half-installed lsb-base:all 10.2019051400
2020-11-18 08:27:22 status unpacked lsb-base:all 10.2019051400
2020-11-18 08:27:22 install libksba8:amd64 <none> 1.3.5-2
2020-11-18 08:27:22 status half-installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:22 status unpacked libksba8:amd64 1.3.5-2
2020-11-18 08:27:23 install libnpth0:amd64 <none> 1.6-1
2020-11-18 08:27:23 status half-installed libnpth0:amd64 1.6-1
2020-11-18 08:27:23 status unpacked libnpth0:amd64 1.6-1
2020-11-18 08:27:23 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install libsqlite3-0:amd64 <none> 3.27.2-3
2020-11-18 08:27:23 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:23 status unpacked libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:23 install gpg:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install pinentry-curses:amd64 <none> 1.1.0-2
2020-11-18 08:27:23 status half-installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:23 status unpacked pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:23 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:23 install gnupg:all <none> 2.2.12-1+deb10u1
2020-11-18 08:27:23 status half-installed gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:23 status unpacked gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:23 startup packages configure
2020-11-18 08:27:23 configure libksba8:amd64 1.3.5-2 <none>
2020-11-18 08:27:23 status unpacked libksba8:amd64 1.3.5-2
2020-11-18 08:27:23 status half-configured libksba8:amd64 1.3.5-2
2020-11-18 08:27:23 status installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:23 configure lsb-base:all 10.2019051400 <none>
2020-11-18 08:27:23 status unpacked lsb-base:all 10.2019051400
2020-11-18 08:27:23 status half-configured lsb-base:all 10.2019051400
2020-11-18 08:27:23 status installed lsb-base:all 10.2019051400
2020-11-18 08:27:23 configure libpsl5:amd64 0.20.2-2 <none>
2020-11-18 08:27:23 status unpacked libpsl5:amd64 0.20.2-2
2020-11-18 08:27:23 status half-configured libpsl5:amd64 0.20.2-2
2020-11-18 08:27:23 status installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:23 configure libssl1.1:amd64 1.1.1d-0+deb10u3 <none>
2020-11-18 08:27:23 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:23 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:23 status installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:23 configure libsqlite3-0:amd64 3.27.2-3 <none>
2020-11-18 08:27:23 status unpacked libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:23 status half-configured libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:23 status installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:23 configure libnpth0:amd64 1.6-1 <none>
2020-11-18 08:27:23 status unpacked libnpth0:amd64 1.6-1
2020-11-18 08:27:23 status half-configured libnpth0:amd64 1.6-1
2020-11-18 08:27:23 status installed libnpth0:amd64 1.6-1
2020-11-18 08:27:24 configure libassuan0:amd64 2.5.2-1 <none>
2020-11-18 08:27:24 status unpacked libassuan0:amd64 2.5.2-1
2020-11-18 08:27:24 status half-configured libassuan0:amd64 2.5.2-1
2020-11-18 08:27:24 status installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:24 configure libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:24 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:24 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 configure gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:24 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:24 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:24 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:24 configure libpcre2-8-0:amd64 10.32-5 <none>
2020-11-18 08:27:24 status unpacked libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:24 status half-configured libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:24 status installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:24 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:24 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:24 configure openssl:amd64 1.1.1d-0+deb10u3 <none>
2020-11-18 08:27:24 status unpacked openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:24 status half-configured openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:24 status installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:24 configure readline-common:all 7.0-5 <none>
2020-11-18 08:27:24 status unpacked readline-common:all 7.0-5
2020-11-18 08:27:24 status half-configured readline-common:all 7.0-5
2020-11-18 08:27:24 status installed readline-common:all 7.0-5
2020-11-18 08:27:24 configure libreadline7:amd64 7.0-5 <none>
2020-11-18 08:27:24 status unpacked libreadline7:amd64 7.0-5
2020-11-18 08:27:24 status half-configured libreadline7:amd64 7.0-5
2020-11-18 08:27:24 status installed libreadline7:amd64 7.0-5
2020-11-18 08:27:24 configure gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:24 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:24 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:24 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:24 configure pinentry-curses:amd64 1.1.0-2 <none>
2020-11-18 08:27:24 status unpacked pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:24 status half-configured pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:24 status installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:24 configure wget:amd64 1.20.1-1.1 <none>
2020-11-18 08:27:24 status unpacked wget:amd64 1.20.1-1.1
2020-11-18 08:27:24 status half-configured wget:amd64 1.20.1-1.1
2020-11-18 08:27:24 status installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:24 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:24 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:24 configure ca-certificates:all 20200601~deb10u1 <none>
2020-11-18 08:27:24 status unpacked ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:24 status half-configured ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:25 status installed ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:25 status triggers-pending ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:25 configure gpgconf:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gpg:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gpgsm:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure dirmngr:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:25 configure gnupg:all 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:25 status unpacked gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:25 status half-configured gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:25 status installed gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:25 trigproc libc-bin:amd64 2.28-10 <none>
2020-11-18 08:27:25 status half-configured libc-bin:amd64 2.28-10
2020-11-18 08:27:25 status installed libc-bin:amd64 2.28-10
2020-11-18 08:27:25 trigproc ca-certificates:all 20200601~deb10u1 <none>
2020-11-18 08:27:25 status half-configured ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:26 status installed ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:27 startup packages remove
2020-11-18 08:27:27 status installed ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:27 remove ca-certificates:all 20200601~deb10u1 <none>
2020-11-18 08:27:27 status half-configured ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:27 status half-installed ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:27 status config-files ca-certificates:all 20200601~deb10u1
2020-11-18 08:27:27 status installed gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gnupg:all 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gnupg:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gnupg:all <none>
2020-11-18 08:27:27 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gpg-wks-client:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gpg-wks-client:amd64 <none>
2020-11-18 08:27:27 status installed dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove dirmngr:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files dirmngr:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gnupg-l10n:all 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gnupg-l10n:all <none>
2020-11-18 08:27:27 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gnupg-utils:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gnupg-utils:amd64 <none>
2020-11-18 08:27:27 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status config-files gpg-wks-server:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status not-installed gpg-wks-server:amd64 <none>
2020-11-18 08:27:27 status installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 remove gpg:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:27 status half-configured gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:27 status half-installed gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpg:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpg:amd64 <none>
2020-11-18 08:27:28 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpg-agent:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpgsm:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpgsm:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpgsm:amd64 <none>
2020-11-18 08:27:28 status installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 remove gpgconf:amd64 2.2.12-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status config-files gpgconf:amd64 2.2.12-1+deb10u1
2020-11-18 08:27:28 status not-installed gpgconf:amd64 <none>
2020-11-18 08:27:28 status installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 remove pinentry-curses:amd64 1.1.0-2 <none>
2020-11-18 08:27:28 status half-configured pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status half-installed pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status config-files pinentry-curses:amd64 1.1.0-2
2020-11-18 08:27:28 status not-installed pinentry-curses:amd64 <none>
2020-11-18 08:27:28 status installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 remove libassuan0:amd64 2.5.2-1 <none>
2020-11-18 08:27:28 status triggers-pending libc-bin:amd64 2.28-10
2020-11-18 08:27:28 status half-configured libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status half-installed libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status config-files libassuan0:amd64 2.5.2-1
2020-11-18 08:27:28 status not-installed libassuan0:amd64 <none>
2020-11-18 08:27:28 status installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 remove libksba8:amd64 1.3.5-2 <none>
2020-11-18 08:27:28 status half-configured libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status half-installed libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status config-files libksba8:amd64 1.3.5-2
2020-11-18 08:27:28 status not-installed libksba8:amd64 <none>
2020-11-18 08:27:28 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 remove libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:28 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status config-files libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status not-installed libldap-2.4-2:amd64 <none>
2020-11-18 08:27:28 status installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 remove libldap-common:all 2.4.47+dfsg-3+deb10u4 <none>
2020-11-18 08:27:28 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status config-files libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:28 status installed libnpth0:amd64 1.6-1
2020-11-18 08:27:28 remove libnpth0:amd64 1.6-1 <none>
2020-11-18 08:27:28 status half-configured libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status half-installed libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status config-files libnpth0:amd64 1.6-1
2020-11-18 08:27:28 status not-installed libnpth0:amd64 <none>
2020-11-18 08:27:28 status installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 remove wget:amd64 1.20.1-1.1 <none>
2020-11-18 08:27:28 status half-configured wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status half-installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status config-files wget:amd64 1.20.1-1.1
2020-11-18 08:27:28 status installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 remove libpcre2-8-0:amd64 10.32-5 <none>
2020-11-18 08:27:28 status half-configured libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status half-installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status config-files libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:28 status not-installed libpcre2-8-0:amd64 <none>
2020-11-18 08:27:28 status installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 remove libpsl5:amd64 0.20.2-2 <none>
2020-11-18 08:27:28 status half-configured libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status half-installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status config-files libpsl5:amd64 0.20.2-2
2020-11-18 08:27:28 status not-installed libpsl5:amd64 <none>
2020-11-18 08:27:28 status installed libreadline7:amd64 7.0-5
2020-11-18 08:27:28 remove libreadline7:amd64 7.0-5 <none>
2020-11-18 08:27:28 status half-configured libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status half-installed libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status config-files libreadline7:amd64 7.0-5
2020-11-18 08:27:28 status not-installed libreadline7:amd64 <none>
2020-11-18 08:27:28 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 remove libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status config-files libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status not-installed libsasl2-2:amd64 <none>
2020-11-18 08:27:28 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 remove libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-11-18 08:27:28 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status config-files libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:28 status not-installed libsasl2-modules-db:amd64 <none>
2020-11-18 08:27:28 status installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 remove libsqlite3-0:amd64 3.27.2-3 <none>
2020-11-18 08:27:28 status half-configured libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status half-installed libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status config-files libsqlite3-0:amd64 3.27.2-3
2020-11-18 08:27:28 status not-installed libsqlite3-0:amd64 <none>
2020-11-18 08:27:28 status installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 remove openssl:amd64 1.1.1d-0+deb10u3 <none>
2020-11-18 08:27:28 status half-configured openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:28 status config-files openssl:amd64 1.1.1d-0+deb10u3
